Code,125,250,500,750,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500
100,1296,2703,3788,5129,6427,8937,11373,13757,16104,,,,,,,,,,,
141,1289,2754,3874,5258,6600,9199,,,,,,,,,,,,,,
142,1289,2754,3874,5258,6600,9199,11725,,,,,,,,,,,,,
143,1324,2874,4105,5621,7100,9986,,,,,,,,,,,,,,
146,1289,2754,3874,5258,6600,9199,11725,,,,,,,,,,,,,
14F,1289,2754,3874,5258,6600,9199,11725,,,,,,,,,,,,,
310,2628,5537,7790,10759,13658,19323,24876,30356,35784,41172,46530,51862,57175,,,,,,,
312,2766,5828,8200,11325,14377,20340,26185,31954,37667,43339,48979,,,,,,,,,
313,2628,5537,7790,10759,13658,19323,24876,30356,35784,41172,46530,51862,57175,,,,,,,
318,1488,3016,3925,5234,6482,8931,11335,13729,16130,,,,,,,,,,,
319,1596,3259,4323,5830,7271,10026,12668,15233,17741,20203,,,,,,,,,,
31F,2766,5828,8200,11325,14377,20340,26185,31954,37667,43339,,,,,,,,,,
31Y,2628,5537,7790,10759,13658,19323,24876,30356,35784,41172,,,,,,,,,,
320,1672,3430,4585,6212,7772,10766,13648,16452,,,,,,,,,,,,
321,1909,3925,5270,7157,8970,12456,15818,19094,22308,,,,,,,,,,,
32A,1672,3430,4585,6212,7772,10766,13648,16452,,,,,,,,,,,,
32F,1672,3430,4585,6212,7772,10766,13648,16452,,,,,,,,,,,,
32S,1672,3430,4585,6212,7772,10766,13648,16452,19200,21902,,,,,,,,,,
330,3497,7277,9980,13579,17055,23769,30276,36642,42903,49082,54788,59831,64719,69463,74074,78560,82928,,,
332,3395,6964,9550,12994,16321,22747,28973,35065,41057,46970,52422,57231,61889,66406,70793,75058,79207,,,
333,3497,7277,9980,13579,17055,23769,30276,36642,42903,49082,54788,59831,64719,69463,,,,,,
33F,3395,6964,9550,12994,16321,22747,28973,35065,41057,46970,,,,,,,,,,
33X,3395,6964,9550,12994,16321,22747,28973,35065,41057,46970,,,,,,,,,,
340,4205,8452,11054,14688,18192,24999,31691,38363,45066,51831,58678,65621,72666,79169,85687,89019,91982,94586,96840,98752
342,3972,7985,10445,13882,17198,23642,29984,36312,42673,49097,55603,62203,68908,75453,80921,84023,86770,89174,,
343,4205,8452,11054,14688,18192,24999,31691,38363,45066,51831,58678,65621,72666,79169,85687,89019,91982,,,
345,4456,9441,13137,18027,22779,32019,41031,49891,58640,67304,75900,84439,92931,101383,109799,117578,124601,131512,138319,145026
346,4778,10030,14053,19362,24537,34630,44505,54236,63863,73412,82899,92334,101727,111211,119071,126796,134395,141877,,
380,5851,12016,17623,24940,32211,46695,61160,75638,90143,104681,119255,133865,148512,163196,177916,192517,203465,214166,224632,
388,5851,12016,17623,24940,32211,46695,61160,75638,90143,104681,119255,133865,148512,163196,177916,192517,203465,214166,224632,
703,4281,8557,10973,14500,17820,24049,29906,35501,40894,46122,51212,56181,61044,,,,,,,
707,4281,8557,10973,14500,17820,24049,29906,35501,40894,46122,51212,56181,61044,,,,,,,
70F,4281,8557,10973,14500,17820,24049,29906,35501,40894,46122,51212,56181,61044,,,,,,,
70M,4281,8557,10973,14500,17820,24049,29906,35501,40894,46122,51212,56181,61044,,,,,,,
717,1513,3121,4235,5628,6989,9646,12209,,,,,,,,,,,,,
721,2550,5100,6548,8663,10659,14418,17973,21386,24693,,,,,,,,,,,
722,2870,5891,7884,10688,13379,18544,23517,28361,33106,,,,,,,,,,,
727,2870,5891,7884,10688,13379,18544,23517,28361,33106,,,,,,,,,,,
72A,2870,5891,7884,10688,13379,18544,23517,28361,33106,,,,,,,,,,,
72F,2870,5891,7884,10688,13379,18544,23517,28361,33106,,,,,,,,,,,
72M,2870,5891,7884,10688,13379,18544,23517,28361,33106,,,,,,,,,,,
72S,2870,5891,7884,10688,13379,18544,23517,28361,33106,,,,,,,,,,,
731,1695,3439,4515,6053,7517,10304,12964,15537,18047,20504,22920,,,,,,,,,
732,1778,3708,4962,6727,8421,11672,14802,17850,20838,23777,26676,,,,,,,,,
733,1616,3323,4462,6061,7597,10551,13400,16176,18900,21582,24229,,,,,,,,,
734,1685,3482,4707,6419,8069,11250,14328,17335,20289,23203,26084,,,,,,,,,
735,1539,3153,4207,5694,7119,9850,12477,15033,17535,19995,22421,,,,,,,,,
736,1525,3074,3995,5324,6584,8971,11239,13426,15553,17631,19670,,,,,,,,,
737,1695,3439,4515,6053,7517,10304,12964,15537,18047,20504,22920,,,,,,,,,
738,1715,3494,4621,6221,7749,10666,13460,16170,18818,21415,23972,,,,,,,,,
739,1782,3641,4839,6533,8154,11255,14233,17125,19954,22733,25471,,,,,,,,,
73A,1778,3708,4962,6727,8421,11672,14802,17850,20838,23777,26676,,,,,,,,,
73C,1600,3273,4355,5884,7348,10151,12843,15460,18019,20534,23013,,,,,,,,,
73E,1529,3115,4117,5541,6901,9496,11981,14390,16744,19052,21325,,,,,,,,,
73F,1778,3708,4962,6727,8421,11672,14802,17850,20838,23777,26676,,,,,,,,,
73G,1586,3202,4173,5570,6895,9410,11804,14113,16360,18558,20715,,,,,,,,,
73H,1695,3439,4515,6053,7517,10304,12964,15537,18047,20504,22920,,,,,,,,,
73J,1761,3581,4724,6351,7903,10862,13694,16438,19117,21743,24328,,,,,,,,,
73L,1778,3708,4962,6727,8421,11672,14802,17850,,,,,,,,,,,,
73M,1778,3708,4962,6727,8421,11672,14802,17850,,,,,,,,,,,,
73N,1616,3323,4462,6061,7597,10551,13400,16176,18900,21582,24229,,,,,,,,,
73P,1770,3656,4942,6740,8472,11813,15044,18201,21304,,,,,,,,,,,
73Q,1770,3656,4942,6740,8472,11813,15044,18201,21304,24363,27388,,,,,,,,,
73R,1586,3202,4173,5570,6895,9410,11804,14113,16360,18558,20715,,,,,,,,,
73S,1778,3708,4962,6727,8421,11672,14802,17850,20838,23777,26676,,,,,,,,,
73W,1567,3149,4074,5415,6684,9082,11357,13547,15674,17750,19786,,,,,,,,,
73X,1778,3708,4962,6727,8421,11672,14802,17850,,,,,,,,,,,,
73Y,1696,3470,4617,6238,7789,10760,13614,16387,19100,21767,24394,,,,,,,,,
741,5605,11509,16880,23888,30853,44725,58580,72448,86341,100265,114224,128218,142247,156312,170411,184544,198710,212909,,
742,5508,11311,16590,23478,30323,43957,57575,71204,84859,98545,112264,126017,139806,153629,167486,181377,195300,209254,,
743,5273,10827,15880,22473,29024,42074,55108,68154,81224,94323,107455,120620,133818,147049,160312,173608,186934,200291,,
744,4719,9690,14212,20113,25977,37657,49323,60999,72696,84420,96173,107956,119768,131607,140292,148734,156946,164938,,
747,4719,9690,14212,20113,25977,37657,49323,60999,72696,84420,96173,107956,119768,131607,140292,148734,156946,164938,,
